families	query_name	accession	e_value	score	bias	e_value_dom	score_dom	bias_dom	exp	reg	clu	ov	env	dom	rep	inc	description
GCF_001729845.1_ASM172984v1_genomic_CDS_0451	Aminotran_1_2	PF00155.24	2.1e-06	23.0	0.0	6.7e-06	21.4	0.0	1.8	2	0	0	2	2	1	1	-
GCF_000318925.1_ASM31892v1_genomic_CDS_0204	Aminotran_3	PF00202.24	1.2e-59	197.9	0.0	1.6e-59	197.5	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0701	Aminotran_5	PF00266.22	9.2e-136	448.5	0.0	1.1e-135	448.3	0.0	1.0	1	0	0	1	1	1	1	-
GCF_002776955.1_ASM277695v1_genomic_CDS_0262	Aminotran_5	PF00266.22	1.3e-46	155.2	0.0	1.6e-46	154.9	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0735	Aminotran_5	PF00266.22	1.6e-19	66.0	0.0	2E-13	45.9	0.0	2.1	1	1	0	2	2	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0890	Amino_oxidase	PF01593.27	7.2e-24	80.8	0.0	1E-23	80.3	0.0	1.3	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0805	AMP-binding	PF00501.31	1.1e-74	247.5	0.0	1.4e-74	247.1	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0695	ANAPC3	PF12895.10	2.2e-14	49.4	14.5	3.9e-06	23.0	0.4	4.8	2	1	3	5	5	0	0	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0590	ANAPC3	PF12895.10	1.1e-08	31.2	1.1	2.1e-06	23.9	1.8	2.3	1	1	1	2	2	0	0	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0554	Anticodon_1	PF08264.16	1E-31	105.9	0.0	2.1e-31	104.9	0.0	1.5	1	0	0	1	1	1	1	-
GCF_001183805.1_ASM118380v1_genomic_CDS_0020	Anticodon_1	PF08264.16	1.8e-31	105.1	0.0	3.3e-31	104.3	0.0	1.5	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0208	Anticodon_1	PF08264.16	4.9e-17	58.3	0.0	3.3e-16	55.6	0.0	2.3	1	1	0	1	1	1	1	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0033	Anticodon_1	PF08264.16	8.9e-10	34.7	0.1	2.2e-09	33.4	0.1	1.7	1	0	0	1	1	1	1	-
GCF_001398295.1_7396_3_21_genomic_CDS_0136	Anticodon_2	PF19269.2	6E-23	77.7	0.0	9.8e-23	77.1	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0033	Anticodon_3	PF19303.2	6.6e-12	41.5	0.0	1.1e-11	40.8	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0078	ApbE	PF02424.18	3.3e-56	186.6	0.0	4.1e-56	186.3	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0638	AP_endonuc_2	PF01261.27	2.4e-50	167.5	0.0	2.7e-50	167.3	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0459	Arg_tRNA_synt_N	PF03485.19	2E-22	75.6	0.0	6E-22	74.0	0.0	1.9	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0906	ArsA_ATPase	PF02374.18	1.1e-08	30.6	1.2	5.3e-08	28.3	0.4	2.4	2	1	0	2	2	1	1	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0808	Asp23	PF03780.16	8E-22	73.6	3.4	1.1e-21	73.2	3.4	1.2	1	0	0	1	1	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0849	ATP-cone	PF03477.19	1.5e-46	152.8	6.3	8.6e-22	73.5	0.5	3.7	3	0	0	3	3	2	2	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0662	ATP-cone	PF03477.19	6.3e-20	67.5	0.7	8.3e-20	67.2	0.7	1.2	1	0	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0125	ATP-grasp	PF02222.25	5.9e-12	41.4	1.5	1E-10	37.4	0.1	2.6	3	0	0	3	3	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0842	ATP-grasp_2	PF08442.13	1E-60	200.8	0.0	1.4e-60	200.3	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0125	ATP-grasp_3	PF02655.17	4.6e-08	29.2	0.1	0,00000009	28.3	0.1	1.5	1	0	0	1	1	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0842	ATP-grasp_5	PF13549.9	9.4e-11	37.4	0.1	9.8e-07	24.3	0.0	2.1	2	0	0	2	2	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0688	ATP-gua_Ptrans	PF00217.22	7.5e-24	80.3	0.0	1.3e-23	79.4	0.0	1.4	1	1	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0895	ATP-synt_A	PF00119.23	9.9e-17	57.4	11.8	1.1e-16	57.3	11.8	1.0	1	0	0	1	1	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0686	ATP-synt_ab	PF00006.28	1E-78	259.8	0.4	9E-78	256.7	0.2	2.3	3	0	0	3	3	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0311	ATP-synt_ab	PF00006.28	1.4e-78	259.3	0.0	2.1e-78	258.8	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0729	ATP-synt_ab	PF00006.28	8.9e-56	184.8	0.1	1.2e-55	184.5	0.1	1.1	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0306	ATP-synt_ab	PF00006.28	9.5e-40	132.5	0.0	1.3e-39	132.0	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000590635.1_ASM59063v1_genomic_CDS_0502	ATP-synt_ab	PF00006.28	5.7e-25	84.2	0.1	1.7e-24	82.6	0.0	1.7	2	0	0	2	2	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0306	ATP-synt_ab_N	PF02874.26	2.1e-12	43.3	0.1	4E-12	42.5	0.1	1.5	1	0	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0311	ATP-synt_ab_N	PF02874.26	7.4e-11	38.4	1.1	1.8e-10	37.2	1.1	1.7	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0729	ATP-synt_ab_N	PF02874.26	2.4e-06	23.9	0.0	4.4e-06	23.1	0.0	1.5	1	0	0	1	1	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0686	ATP-synt_ab_N	PF02874.26	1.2e-05	21.7	1.9	3.8e-05	20.1	1.9	1.9	1	0	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0311	ATP-synt_ab_Xtn	PF16886.8	2E-29	97.8	0.0	3.8e-29	96.9	0.0	1.5	1	0	0	1	1	1	1	-
GCF_006508265.1_ASM650826v1_genomic_CDS_0556	ATP-synt_C	PF00137.24	1.1e-18	63.3	27.9	8.5e-10	34.8	8.3	2.1	2	0	0	2	2	2	2	-
GCF_000318925.1_ASM31892v1_genomic_CDS_0300	ATP-synt_D	PF01813.20	1.8e-29	98.9	4.5	2E-29	98.7	4.5	1.0	1	0	0	1	1	1	1	-
GCF_002777095.1_ASM277709v1_genomic_CDS_0296	ATPase	PF06745.16	5E-15	51.4	0.1	5.4e-07	25.1	0.0	2.2	2	0	0	2	2	0	0	-
GCF_001398215.1_7501_6_50_genomic_CDS_0792	ATPase	PF06745.16	4.5e-09	31.9	2.7	3.3e-06	22.5	0.1	3.0	1	1	1	2	2	0	0	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0872	ATP_bind_3	PF01171.23	4.6e-45	149.5	0.1	6.8e-45	148.9	0.1	1.3	1	0	0	1	1	1	1	-
GCF_001317785.1_7396_3_13_genomic_CDS_0793	ATP_bind_3	PF01171.23	8.6e-18	60.6	0.0	1.3e-17	60.0	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0830	Autotransporter	PF03797.22	1.1e-24	83.4	6.3	2.2e-24	82.4	6.3	1.5	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0670	Autotransporter	PF03797.22	1.3e-21	73.4	0.0	1.3e-21	73.4	0.0	3.3	3	0	0	3	3	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0250	Autotransporter	PF03797.22	8.9e-18	60.8	0.1	2.3e-17	59.4	0.1	1.7	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0903	Autotransporter	PF03797.22	4.3e-12	42.2	0.7	8.9e-12	41.1	0.7	1.5	1	0	0	1	1	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0483	B3_4	PF03483.20	2.7e-53	176.1	0.0	4.6e-53	175.4	0.0	1.4	1	0	0	1	1	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0483	B5	PF03484.18	7.3e-18	60.6	0.3	1.9e-16	56.1	0.3	2.6	2	0	0	2	2	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0279	Bactofilin	PF04519.16	1.5e-25	85.3	3.1	1.8e-25	85.0	3.1	1.1	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0274	Bac_DnaA	PF00308.21	5.1e-81	267.6	0.1	1.7e-80	265.9	0.0	1.8	2	0	0	2	2	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0247	Bac_DnaA	PF00308.21	4.7e-49	163.1	0.0	1.2e-48	161.8	0.0	1.6	2	0	0	2	2	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0274	Bac_DnaA_C	PF08299.14	1.2e-25	85.4	0.2	7.6e-25	82.8	0.1	2.1	2	0	0	2	2	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0247	Bac_DnaA_C	PF08299.14	2.4e-23	78.0	0.0	4.3e-23	77.1	0.0	1.5	1	0	0	1	1	1	1	-
GCF_000318825.1_ASM31882v1_genomic_CDS_0264	Bac_DNA_binding	PF00216.24	4E-28	93.4	0.2	4.4e-28	93.3	0.2	1.0	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0575	Bac_export_1	PF01311.23	4.2e-43	143.4	27.0	5.1e-43	143.2	27.0	1.0	1	0	0	1	1	1	1	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0090	Bac_export_2	PF01312.22	4.1e-100	331.1	1.4	4.6e-100	330.9	1.4	1.0	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0574	Bac_export_3	PF01313.22	1.5e-25	84.9	10.1	1.8e-25	84.6	10.1	1.1	1	0	0	1	1	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0838	Bax1-I	PF01027.23	7.3e-42	139.5	31.7	9.2e-42	139.1	31.7	1.0	1	0	0	1	1	1	1	-
GCF_006508235.1_ASM650823v1_genomic_CDS_0588	Beta-lactamase	PF00144.27	3.8e-31	104.5	0.0	7.1e-31	103.5	0.0	1.4	1	1	0	1	1	1	1	-
GCF_006508235.1_ASM650823v1_genomic_CDS_0588	Beta-lactamase2	PF13354.9	1.6e-40	134.8	0.0	2E-40	134.4	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0561	Beta-lactamase2	PF13354.9	2.3e-06	23.1	0.0	4.8e-06	22.1	0.0	1.6	1	1	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0215	BFN_dom	PF02577.17	1.4e-23	78.8	0.0	2E-23	78.3	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000441775.1_ASM44177v1_genomic_CDS_0785	Big_1	PF02369.19	1.8e-15	52.7	7.6	1.8e-15	52.7	7.6	7.1	7	1	1	8	8	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0125	Biotin_carb_C	PF02785.22	4.4e-39	128.9	0.0	3.6e-38	125.9	0.0	2.1	2	0	0	2	2	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0125	Biotin_carb_N	PF00289.25	7.2e-46	151.2	0.4	2.1e-45	149.8	0.2	1.9	2	0	0	2	2	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0124	Biotin_lipoyl	PF00364.25	5.6e-22	73.4	0.1	8.8e-22	72.7	0.1	1.3	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0536	Biotin_lipoyl	PF00364.25	4E-18	61.0	0.0	9.8e-18	59.8	0.0	1.7	1	0	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0254	Biotin_lipoyl	PF00364.25	4.1e-17	57.8	0.0	7.6e-17	56.9	0.0	1.5	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0309	Biotin_lipoyl	PF00364.25	1.2e-12	43.5	0.4	4.3e-12	41.7	0.4	1.9	1	1	1	2	2	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0536	Biotin_lipoyl_2	PF13533.9	1.7e-08	30.1	0.0	1.2e-05	21.0	0.0	2.6	1	1	1	2	2	0	0	-
GCF_000318825.1_ASM31882v1_genomic_CDS_0360	BioY	PF02632.17	4.3e-30	100.5	17.7	6.7e-30	99.9	17.7	1.2	1	0	0	1	1	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0680	BON	PF04972.20	2.3e-11	39.8	0.6	5.7e-09	32.2	0.3	3.2	2	0	0	2	2	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0198	BPD_transp_1	PF00528.25	1.5e-35	118.6	8.8	1.5e-35	118.6	8.8	1.6	2	0	0	2	2	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0487	BPD_transp_1	PF00528.25	2E-29	98.5	7.7	2E-29	98.5	7.7	2.0	2	1	1	3	3	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0199	BPD_transp_1	PF00528.25	4.5e-29	97.4	13.0	4.5e-29	97.4	13.0	1.8	2	0	0	2	2	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0232	BPD_transp_1	PF00528.25	3.1e-26	88.2	14.2	6.9e-26	87.0	14.2	1.6	1	1	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0486	BPD_transp_1	PF00528.25	2.8e-24	81.8	6.9	2.8e-24	81.8	6.9	2.8	3	1	0	3	3	1	1	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0129	BPD_transp_1	PF00528.25	9.7e-17	57.2	6.6	9.7e-17	57.2	6.6	1.3	1	1	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0198	BPD_transp_1_N	PF19300.2	2.8e-12	42.8	0.1	9.2e-12	41.1	0.0	2.0	2	1	0	2	2	1	1	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0741	BPL_LplA_LipB	PF03099.22	1.8e-33	111.3	0.0	2.2e-33	111.0	0.0	1.1	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0535	BPL_LplA_LipB	PF03099.22	1.7e-27	92.0	0.0	2.4e-27	91.5	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0036	BPL_N	PF09825.12	1.4e-55	184.0	0.0	1.7e-55	183.8	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001317785.1_7396_3_13_genomic_CDS_0021	Branch_AA_trans	PF05525.16	2.2e-56	187.5	27.9	3.5e-56	186.9	27.9	1.2	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0146	BRCT	PF00533.29	3.9e-17	58.3	0.0	1.6e-16	56.4	0.0	2.0	1	1	1	2	2	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0291	Carboxyl_trans	PF01039.25	3.7e-21	71.2	0.0	5.4e-21	70.7	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0264	Carboxyl_trans	PF01039.25	3E-18	61.6	0.1	3.7e-18	61.3	0.1	1.1	1	0	0	1	1	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0451	CARDB	PF07705.14	0,000002	24.0	0.7	0.31	7.3	0.1	4.2	4	1	0	4	4	0	0	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0762	CarD_CdnL_TRCF	PF02559.19	1.6e-21	72.8	0.0	5.4e-21	71.1	0.0	1.9	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0906	CbiA	PF01656.26	2.8e-22	75.1	0.0	3.5e-22	74.8	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0592	CbiA	PF01656.26	2.7e-19	65.4	0.0	3.4e-19	65.1	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000441775.1_ASM44177v1_genomic_CDS_0777	CbiA	PF01656.26	1.6e-08	30.6	0.0	2.4e-08	30.0	0.0	1.3	1	0	0	1	1	1	1	-
GCF_002776845.1_ASM277684v1_genomic_CDS_0843	CbiA	PF01656.26	1.1e-07	27.9	0.0	2.2e-07	26.9	0.0	1.5	1	0	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0891	CBM_48	PF02922.21	2.2e-25	84.8	0.1	5.7e-24	80.2	0.0	3.0	3	0	0	3	3	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0298	CBM_48	PF02922.21	4.6e-16	54.9	0.0	2E-15	52.8	0.0	2.2	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0592	CBP_BcsQ	PF06564.15	5.4e-13	44.9	0.0	2.1e-09	33.2	0.0	2.0	2	0	0	2	2	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0906	CBP_BcsQ	PF06564.15	4.1e-09	32.2	0.0	0,000000007	31.4	0.0	1.4	1	1	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0413	CBS	PF00571.31	5.3e-15	51.6	0.1	2.7e-07	26.9	0.0	2.8	3	0	0	3	3	2	2	-
GCF_000026905.1_ASM2690v1_genomic_CDS_0198	CBS	PF00571.31	1.5e-13	46.9	1.4	1.7e-07	27.6	1.1	2.7	2	0	0	2	2	2	2	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0427	CBS	PF00571.31	5.1e-10	35.6	0.1	0.00031	17.1	0.0	2.4	2	0	0	2	2	1	1	-
GCF_000026905.1_ASM2690v1_genomic_CDS_0262	CBS	PF00571.31	7.8e-08	28.7	0.1	0.0054	13.1	0.0	2.8	2	1	1	3	3	0	0	-
GCF_001729905.1_ASM172990v1_genomic_CDS_0826	CDP-OH_P_transf	PF01066.24	1.3e-23	80.1	6.5	1.9e-23	79.6	6.3	1.3	1	1	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0758	CDP-OH_P_transf	PF01066.24	1.7e-21	73.2	8.9	2.2e-21	72.9	8.9	1.1	1	0	0	1	1	1	1	-
GCF_001729905.1_ASM172990v1_genomic_CDS_0858	CDP-OH_P_transf	PF01066.24	4E-16	55.8	9.1	1.1e-15	54.4	9.0	1.8	1	1	0	1	1	1	1	-
GCF_000318925.1_ASM31892v1_genomic_CDS_0043	CesT	PF05932.16	1.1e-31	105.4	0.1	1.2e-31	105.2	0.1	1.0	1	0	0	1	1	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0679	CesT	PF05932.16	2.5e-29	97.8	0.0	2.8e-29	97.6	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0088	CesT	PF05932.16	9.8e-16	53.9	0.0	1.2e-15	53.7	0.0	1.1	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0670	ChlamPMP_M	PF07548.14	3.3e-66	218.5	5.6	3.3e-66	218.5	5.6	3.5	3	0	0	3	3	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0419	ChlamPMP_M	PF07548.14	4.7e-58	192.0	0.7	4.7e-58	192.0	0.7	4.6	3	2	0	3	3	1	1	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0830	ChlamPMP_M	PF07548.14	6.7e-52	171.9	0.7	4.4e-51	169.3	0.3	2.6	3	0	0	3	3	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0903	ChlamPMP_M	PF07548.14	1.9e-50	167.2	0.3	1.9e-50	167.2	0.3	2.4	4	0	0	4	4	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0251	ChlamPMP_M	PF07548.14	1.5e-49	164.3	9.7	1.3e-47	158.0	0.6	3.3	3	0	0	3	3	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0250	ChlamPMP_M	PF07548.14	7.5e-46	152.2	3.3	2.3e-45	150.7	3.3	1.9	1	0	0	1	1	1	1	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0418	ChlamPMP_M	PF07548.14	2.3e-35	118.1	0.2	6.6e-35	116.6	0.2	1.9	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0906	ChlamPMP_M	PF07548.14	1.6e-34	115.3	0.9	5.6e-34	113.6	0.9	2.0	1	0	0	1	1	1	1	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0901	ChlamPMP_M	PF07548.14	4.5e-14	48.7	10.1	9.8e-13	44.4	2.8	3.9	3	1	0	3	3	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0824	Chlam_OMP	PF01308.20	1.1e-253	836.8	5.1	1.2e-253	836.7	5.1	1.0	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0856	Chlam_OMP	PF01308.20	7.3e-10	34.0	2.2	1.5e-05	19.9	0.9	3.5	1	1	2	3	3	0	0	-
GCF_000092685.1_ASM9268v1_genomic_CDS_0451	Chlam_OMP3	PF03503.16	3.7e-39	128.8	27.8	3.7e-39	128.8	27.8	1.4	2	0	0	2	2	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0451	Chlam_OMP6	PF03504.16	3.7e-61	199.5	15.0	1.5e-60	197.5	1.0	3.9	4	0	0	4	4	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0419	Chlam_PMP	PF02415.20	1.6e-33	109.1 178.5	1.4e-06	24.4	4.7	29.0	27	4	0	27	27	4	4	-	
GCF_000210495.1_ASM21049v1_genomic_CDS_0418	Chlam_PMP	PF02415.20	2.1e-19	64.7	39.6	0,00009	18.8	0.0	10.8	11	0	0	11	11	3	3	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0901	Chlam_PMP	PF02415.20	6.9e-17	56.9	23.9	0.0024	14.3	0.7	7.7	7	0	0	7	7	2	2	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0903	Chlam_PMP	PF02415.20	2.3e-16	55.2	47.7	0.00058	16.3	0.0	10.5	10	0	0	10	10	4	4	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0670	Chlam_PMP	PF02415.20	2.5e-16	55.1 106.0	0.0019	14.6	2.1	19.3	20	0	0	20	20	1	1	-	
GCF_001183825.1_ASM118382v1_genomic_CDS_0830	Chlam_PMP	PF02415.20	8.6e-11	37.7	99.5	0.0038	13.7	0.2	21.4	23	1	0	23	23	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0251	Chlam_PMP	PF02415.20	2.8e-08	29.8	59.3	7.6e-05	19.0	1.1	11.5	10	3	0	10	10	2	2	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0906	Chlam_PMP	PF02415.20	0,00000006	28.8	5.6	8.9e-06	22.0	0.4	11.0	11	2	0	11	11	2	2	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0910	Chlam_vir	PF05475.14	1.3e-86	283.7	2.3	2.3e-86	282.8	2.3	1.4	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0598	ChlI	PF13541.9	2.6e-08	29.7	0.0	6.7e-08	28.4	0.0	1.7	1	0	0	1	1	1	1	-
GCF_000590635.1_ASM59063v1_genomic_CDS_0374	Chorismate_synt	PF01264.24	9.2e-114	375.4	0.0	1.1e-113	375.2	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0777	CitMHS	PF03600.19	2.3e-22	75.4	21.7	3.8e-22	74.7	21.7	1.3	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0552	CitMHS	PF03600.19	5.6e-22	74.2	34.3	7.5e-16	54.1	28.5	2.2	1	1	1	2	2	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	ClpB_D2-small	PF10431.12	7.5e-24	79.5	0.1	2.7e-23	77.8	0.1	2.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	ClpB_D2-small	PF10431.12	9E-24	79.3	2.3	4.9e-22	73.7	0.0	3.5	2	1	1	3	3	1	1	-
GCF_000318945.1_ASM31894v1_genomic_CDS_0713	ClpB_D2-small	PF10431.12	2.6e-13	45.8	0.6	6.2e-13	44.6	0.6	1.6	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	Clp_N	PF02861.23	5.2e-34	112.1	6.5	2.8e-17	58.6	1.3	3.0	2	0	0	2	2	2	2	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	Clp_N	PF02861.23	2.8e-23	77.8	0.0	1.9e-11	39.9	0.0	2.8	2	0	0	2	2	2	2	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0720	CLP_protease	PF00574.26	9.3e-78	256.2	0.3	1.1e-77	256.0	0.3	1.0	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0450	CLP_protease	PF00574.26	7.4e-66	217.4	0.0	8.6e-66	217.2	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000318825.1_ASM31882v1_genomic_CDS_0232	cNMP_binding	PF00027.32	4.9e-16	54.6	0.0	6.4e-16	54.2	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000026905.1_ASM2690v1_genomic_CDS_0262	CNNM	PF01595.23	1.1e-31	105.8	0.3	2E-31	104.9	0.3	1.4	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0255	CNNM	PF01595.23	1.2e-25	86.1	2.4	2E-25	85.4	1.8	1.6	2	0	0	2	2	1	1	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0544	CN_hydrolase	PF00795.25	4.3e-49	163.1	0.0	6.3e-49	162.6	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001293965.1_ASM129396v1_genomic_CDS_0654	CoaE	PF01121.23	1.5e-32	108.6	0.0	1.8e-32	108.4	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0199	CoA_binding	PF02629.22	5.5e-27	90.3	0.1	2.2e-26	88.4	0.0	2.0	2	0	0	2	2	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0717	cobW	PF02492.22	0,0000003	26.1	2.1	0,00003	19.6	0.1	3.4	2	2	2	4	4	0	0	-
